CN	Name	Rarity	Normal	Foil	Etched Foil	Borderless	Borderless Foil	Textured Foil
270	Roon of the Hidden Realm	R	0.84	27.99	38.0	-	-	-
271	Ruric Thar, the Unbowed	R	0.84	2.94	13.99	-	-	-
272	Scab-Clan Giant	U	0.08	0.29	-	-	-	-
27	Scale Blessing	U	0.09	0.19	-	-	-	-
86	Scion of Darkness	U	2.98	14.99	-	-	-	-
123	Seasoned Pyromancer	M	23.32	89.99	57.99	58.98	144.99	-
273	Sedraxis Specter	U	0.09	0.29	-	-	-	-
274	Sedris, the Traitor King	M	5.0	49.99	39.99	14.84	94.99	-
28	Seeker of the Way	C	0.0	0.24	-	4.68	6.99	-
87	Seekers' Squire	C	0.19	0.19	-	-	-	-
330	Selesnya Sanctuary	U	0.25	3.98	-	8.77	16.99	-
314	Sensei's Divining Top	R	28.37	99.99	144.99	62.16	374.99	-
29	Sensor Splicer	C	0.1	0.14	-	-	-	-
30	Settle Beyond Reality	C	0.2	0.19	-	-	-	-
88	Severed Strands	C	0.1	0.24	-	-	-	-
89	Shadowborn Apostle	C	3.46	11.99	-	-	-	-
275	Shattergang Brothers	R	0.49	74.99	13.99	-	-	-
276	Sidisi, Brood Tyrant	R	0.75	7.99	27.99	-	-	-
331	Simic Growth Chamber	U	0.23	9.99	-	13.82	25.0	-
90	Skeleton Archer	C	0.09	0.24	-	-	-	-
91	Skinrender	U	0.14	0.99	-	-	-	-
277	Skullbriar, the Walking Grave	R	2.86	27.99	87.99	-	-	-
31	Smothering Tithe	R	24.79	44.99	114.99	44.13	114.99	-
124	Sparkmage's Gambit	C	0.1	0.24	-	-	-	-
63	Spell Pierce	C	0.19	2.98	-	9.97	83.99	-
158	Spider Spawning	U	0.18	0.39	-	-	-	-
159	Splinterfright	R	0.97	0.99	13.99	-	-	-
278	Sprouting Thrinax	U	0.13	0.24	-	-	-	-
125	Staggershock	U	0.14	0.49	-	-	-	-
126	Storm Fleet Pyromancer	C	0.09	0.14	-	-	-	-
92	Strands of Undeath	C	0.14	0.24	-	-	-	-
279	Sultai Soothsayer	U	0.09	0.24	-	-	-	-
160	Summer Bloom	U	2.0	19.99	-	-	-	-
93	Supernatural Stamina	C	0.09	0.24	-	-	-	-
280	Supreme Verdict	R	7.46	13.99	37.99	34.99	74.99	-
94	Surgical Extraction	R	11.99	18.99	-	28.32	44.99	-
127	Surreal Memoir	U	0.08	0.24	-	-	-	-
64	Talrand, Sky Summoner	R	0.14	0.69	13.99	-	-	-
281	Tariel, Reckoner of Souls	R	2.6	27.99	37.99	-	-	-
32	Teferi's Protection	R	26.86	57.99	94.99	37.99	139.99	-
282	Teneb, the Harvester	R	0.94	74.99	94.99	-	-	-
283	Tenth District Legionnaire	C	0.2	0.99	-	-	-	-
284	Terminate	U	0.68	2.98	-	5.56	13.99	-
254	The Mimeoplasm	R	2.79	9.94	34.99	6.96	74.99	-
285	Thistledown Liege	R	0.93	6.74	13.99	-	-	-
65	Thought Scour	C	0.28	1.74	-	2.95	8.99	-
286	Thousand-Year Storm	R	4.97	12.99	68.99	18.39	69.99	-
287	Thraximundar	R	0.99	18.99	33.99	-	-	-
161	Thrive	C	0.2	0.19	-	-	-	-
315	Thrumming Stone	R	27.99	194.99	194.99	-	-	-
128	Titan's Strength	C	0.15	0.99	-	-	-	-
288	Tower Gargoyle	U	0.08	0.24	-	-	-	-
162	Travel Preparations	U	0.09	0.24	-	-	-	-
316	Traveler's Amulet	C	0.09	0.24	-	-	-	-
163	Tuskguard Captain	C	0.2	1.49	-	-	-	-
129	Twinflame	R	2.95	16.99	27.99	-	-	-
3	Ulamog, the Infinite Gyre	M	46.49	174.99	124.99	95.33	294.99	650.0
289	Ulasht, the Hate Seed	R	0.89	12.99	28.0	-	-	-
95	Unburial Rites	U	0.19	3.48	-	-	-	-
96	Unearth	C	0.2	3.48	-	4.94	13.99	-
290	Uril, the Miststalker	M	10.47	194.99	244.99	-	-	-
97	Vampire Sovereign	U	0.2	0.39	-	-	-	-
98	Vampiric Rites	U	0.19	4.48	-	-	-	-
291	Varina, Lich Queen	R	2.5	44.99	28.0	-	-	-
317	Vedalken Orrery	R	13.06	54.99	55.0	37.88	150.0	-
66	Venser, Shaper Savant	R	1.8	4.99	35.0	-	-	-
292	Villainous Wealth	R	0.34	2.99	14.0	-	-	-
33	Wall of Omens	U	0.37	8.99	-	4.32	8.99	-
130	Warrior's Oath	M	64.98	399.99	698.98	-	-	-
67	Wash Out	U	0.99	19.99	-	-	-	-
293	Wasitora, Nekoru Queen	R	2.43	54.99	74.99	-	-	-
34	Weathered Wayfarer	R	7.11	80.0	34.99	-	-	-
164	Webweaver Changeling	C	0.29	0.29	-	-	-	-
294	Wilt-Leaf Liege	R	1.14	2.5	24.99	-	-	-
295	Winged Coatl	C	0.14	1.24	-	-	-	-
35	Wingsteed Rider	C	0.19	0.19	-	-	-	-
296	Wrenn and Six	M	58.89	299.99	245.0	106.24	449.99	1400.0
99	Yahenni, Undying Partisan	R	2.98	7.99	27.99	-	-	-
131	Young Pyromancer	U	0.38	0.99	-	4.95	23.99	-
297	Zur the Enchanter	R	2.99	6.0	27.99	-	-	-
